price,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,sold_year,sold_month
1800000,Beaumont Hills,3,5,2,614,House,9042,46488,3.19,-33.69788,150.94161,67,0.1,220.1,31.01,2021.0,10.0
1537500,Newington,2,3,2,293,House,5802,51792,0.927,-33.83889,151.05551,19,0.1,197.9,14.58,2021.0,5.0
1910000,South Hurstville,3,4,1,332,Semi-Detached,5147,30784,1.042,-33.97767,151.10598,37,0.1,220.1,15.75,2021.0,11.0
1050000,Canley Heights,1,3,2,777,House,10974,22152,2.605,-33.88198,150.9227,28,0.1,220.1,26.64,2021.0,10.0
1690000,Ultimo,2,4,0,101,House,8845,20072,0.559,-33.87941,151.19845,23,0.1,197.9,1.9,2021.0,3.0
1800000,Lewisham,1,3,1,271,House,3164,48204,0.642,-33.8953,151.14668,25,0.1,197.9,6.74,2021.0,3.0
1700000,Ashfield,2,2,2,412,House,23841,35412,3.414,-33.88947,151.12753,38,0.1,183.1,8.08,2021.0,2.0
1655000,Petersham,1,3,0,252,House,8116,52884,1.287,-33.89452,151.1556,41,0.1,220.1,5.99,2021.0,10.0
2650000,Penshurst,4,5,3,696,House,12786,34684,2.516,-33.96482,151.08475,62,1.5,176.6,16.01,2017.0,4.0
665000,Minto,2,4,1,568,House,12551,29276,9.568,-34.03164,150.84989,71,1.5,174.2,38.06,2017.0,7.0
1800000,Hornsby Heights,2,5,2,1082,House,6305,43576,10.218,-33.6556,151.10003,201,0.1,220.1,25.37,2021.0,10.0
3560000,Roseville,3,5,2,800,House,10082,51896,3.923,-33.78256,151.18105,89,1.5,160.5,9.54,2018.0,11.0
1320000,Bensville,2,4,2,610,House,2545,36764,4.925,-33.49914,151.39045,27,0.1,220.1,43.91,2021.0,10.0
1486000,Northmead,1,3,1,809,House,11215,40924,4.286,-33.78379,150.99349,49,0.1,220.1,21.97,2021.0,12.0
1900000,Narraweena,2,3,2,283,House,6608,34008,1.776,-33.75,151.27239,83,0.1,197.9,14.02,2021.0,12.0
1205000,Birrong,1,3,4,575,House,3103,24596,1.196,-33.89192,151.02094,36,0.1,197.9,17.73,2021.0,5.0
1055000,Connells Point,2,3,1,178,Villa,2829,44200,1.035,-33.98536,151.09431,16,0.1,220.1,17.09,2021.0,12.0
2005000,Beecroft,3,4,2,935,House,9396,47112,5.117,-33.75342,151.06372,130,1.0,159.0,18.35,2019.0,12.0
850000,Riverstone,3,5,2,324,House,7247,36764,22.465,-33.66886,150.85969,28,0.1,183.1,39.07,2021.0,12.0
